FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288307,288307,POINT (16.491255185715346 48.17724146262005),22,Donauinsel Anlage NEU 7,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288308,288308,POINT (16.365711122179025 48.27910076812607),21,Donauinsel Anlage NEU 12,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288309,288309,POINT (16.506198357905728 48.16483909000014),22,Donauinsel Anlage NEU 4,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288310,288310,POINT (16.379994877866366 48.2482422986351),20,Aignersteg/Stiegenallee,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288311,288311,POINT (16.40108136590414 48.234669279676176),22,Donauinsel Anlage NEU 2,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288312,288312,POINT (16.41807288979131 48.22730719500461),22,Am Kaisermühlendamm (ggü. Jungmaisg.),,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288313,288313,POINT (16.428261401831417 48.218647439864036),22,Donauinsel Anlage NEU 9,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288314,288314,POINT (16.423646147452647 48.223141278556014),22,Am Kaisermühlendamm (ggü. Berchtoldg.),,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288315,288315,POINT (16.375471717960398 48.26777355881357),21,Donauinsel Anlage NEU 11,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288316,288316,POINT (16.464144649125515 48.19489020902778),22,Donauinsel Anlage NEU 8,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288317,288317,POINT (16.43322456576116 48.21240744548388),22,Donauinsel Anlage NEU 3,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288318,288318,POINT (16.402966820860108 48.228224468417515),2,Handelskai ( rechter Donaudamm/D) ,ggü. 154,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288319,288319,POINT (16.391322824757268 48.244053162833104),21,Donauinsel autom. selbstr. Beachvolleyballpl.,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288320,288320,POINT (16.39748637322089 48.24350856260559),22,Damm autom. selbstr. Familienbadestrand,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
